model_name,split,precision,recall,f1,tp,fp,fn,count_mae,annotated_frames
baseline_bandpass,train,0.890422077922078,0.8374045801526717,0.8630999213217939,1097,135,213,6.285714285714286,14
baseline_bandpass,holdout,0.8857958600999286,0.8494182067077344,0.86722571628232,1241,160,220,6.5,16
baseline_bandpass,all_annotated,0.8879605013292822,0.8437387224828582,0.8652849740932643,2338,295,433,6.4,30
background_subtracted,train,0.838150289017341,0.8854961832061069,0.8611729769858947,1160,224,150,10.142857142857142,14
background_subtracted,holdout,0.8157232704402516,0.8877481177275839,0.8502130449033104,1297,293,164,10.9375,16
background_subtracted,all_annotated,0.8261600537995964,0.8866835077589318,0.8553524804177546,2457,517,314,10.566666666666666,30
ensemble_selective,train,0.871875,0.8519083969465648,0.8617760617760617,1116,164,194,7.428571428571429,14
ensemble_selective,holdout,0.8686730506155951,0.8692676249144422,0.8689702360588437,1270,192,191,7.5625,16
ensemble_selective,all_annotated,0.8701677607585704,0.861060988812703,0.8655904226374026,2386,356,385,7.5,30
ensemble_high_recall_union,train,0.8375269590222861,0.8893129770992366,0.8626434653831914,1165,226,145,10.357142857142858,14
ensemble_high_recall_union,holdout,0.8164160401002506,0.891854893908282,0.8524697415767093,1303,293,158,11.3125,16
ensemble_high_recall_union,all_annotated,0.8262470706394376,0.8906531937928546,0.8572420979506773,2468,519,303,10.866666666666667,30
